id	name	surname	email	password	sex	image	createdAt
"2eefa0d3-3752-4038-98cd-6daf5ccd5d06"	"user"	"user"	"user9@mail.com"	"$2b$04$xroo8q0y5uayz/o0yCQz1eh1ANsjwjqfO2mMoDOn.F1KBSpJXxvLO"	"MALE"	"image-1710437922223.jpeg"	"2024-03-14 17:33:59"
"3fdb7c2a-4eaf-47be-ba52-d2c6b143f3e1"	"user"	"user"	"user12@mail.com"	"$2b$04$nhNpTDFbfTgv0Sqk0RwIeOBhSWv4Y27Q9LZgixKH1LqlW9zeE4bG6"	"MALE"	"default_image.jpg"	"2024-03-14 17:43:25"
"3fead256-66b6-4489-8234-c2a34a9e8461"	"user"	"user"	"user8@mail.com"	"$2b$04$vn7rE4ZfnbbwxAEujb437uAtAe5izkwZ05pCzgjvNXowiEpBUq5Ui"	"MALE"	"image-1710437935457.jpeg"	"2024-03-14 17:33:55"
"532c0c52-61f7-49b9-96c9-82ba02d1bcc8"	"user"	"user"	"user@mail.com"	"$2b$04$8r0532J1SVB4sz9jdbJ8Te7UbmMStH5bxwvJkYAQwZo093vw14mMG"	"MALE"	"default_image.jpg"	"2024-03-14 17:33:07"
"7e3ae960-a45d-469f-9634-cc920de1ba8a"	"user"	"user"	"user2@mail.com"	"$2b$04$XwDfP9p5iU3xs09aAi9W3O0mTBygf1FFhnDotrzbV5DL1h6VWlJ92"	"MALE"	"default_image.jpg"	"2024-03-14 17:33:30"
"9c273275-cba8-420c-b2f6-9a10df1a6ef9"	"user"	"user"	"user5@mail.com"	"$2b$04$BBl/VcdzD4Nfi0lAYtim/emYV7.wWjAKeasoeaPfJkICSU0kiL44y"	"MALE"	"image-1710438086896.jpeg"	"2024-03-14 17:33:42"
"b120bc01-5a6b-401b-b32a-b84a7da48fb9"	"user"	"user"	"user11@mail.com"	"$2b$04$ucaLjiTVNV5oY/Z/lizfyu3LrSy5psBS0Qg.vAt77F4Z/YyNVlQJK"	"MALE"	"default_image.jpg"	"2024-03-14 17:43:20"
"b5825b1b-1104-4787-867e-534694dd3b49"	"user"	"user"	"user1@mail.com"	"$2b$04$zWUVqo6pgLY69pl8v22Kn.ftlr0zh8a8X2g9tf/xmP895MSH1b8Gu"	"MALE"	"default_image.jpg"	"2024-03-14 17:33:27"
"bca82052-17b6-4904-bc40-1dd8eb4ebfa8"	"user"	"user"	"user4@mail.com"	"$2b$04$.hfIEf9PmILfkArwCVV7EugQNHT.xlTP9q5rQADM.sRwwyaIuHN9i"	"MALE"	"default_image.jpg"	"2024-03-14 17:33:38"
"c71669ae-6d21-44dd-b732-0c24ef192091"	"user"	"user"	"user6@mail.com"	"$2b$04$R1xJiwGGA2JsvTsbT2wOc.sSBioKkYfE9M25mSfpE/jW6V65in.sO"	"MALE"	"image-1710438073924.jpeg"	"2024-03-14 17:33:46"
"dd6a2e47-486f-4f40-a3c9-2b1ce26de4de"	"user"	"user"	"user7@mail.com"	"$2b$04$/1BLB3FlJ.kBa93glWf98.TMXxfXnhhk7kspbSG294f2NDAG0P8/O"	"MALE"	"image-1710437947722.jpeg"	"2024-03-14 17:33:51"
"edf21b43-f76e-4fd0-9e9b-c9dc543f56fe"	"user"	"user"	"user3@mail.com"	"$2b$04$7IWZvocGuzCS2mNtA.Y/3.eaMygPeUCxlh6v268rgMmQA2S7Aqgl2"	"MALE"	"default_image.jpg"	"2024-03-14 17:33:34"
"fccdd425-76e3-479b-90a4-56d1ee64c9e4"	"user"	"user"	"user10@mail.com"	"$2b$04$r9FMfJi8OgGdOpXSULmdm.ZG/86AGIJu0TlUUxJhC2bM2WpmM84Aa"	"MALE"	"image-1710437908719.jpeg"	"2024-03-14 17:34:03"
